rowid,mpl_hostname,mpl_letter,mpl_discmethod,mpl_pnum,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_dens,mpl_orbincl,ra,dec,mst_teff,mst_mass,mst_rad,hd_name,mpl_name,mpl_eqt,mpl_masse,mpl_rade,mpl_status,mpl_mnum,rowupdate,mst_lum
141,HD 97658,b,Radial Velocity,1,9.4957,,0.13,,,168.638184,25.710384,,,,HD 97658,HD 97658 b,1463,,0.95,3,0,24/04/15,
142,HD 97658,b,Radial Velocity,1,9.4903,0.08,0.078,3.9,89.14,168.638184,25.710384,5170,0.77,0.74,HD 97658,HD 97658 b,1468,7.55,2.247,3,0,14/05/14,-0.45
143,HIP 116454,b,Transit,1,9.1205,0.0906,0.205,4.17,88.43,353.955353,0.445516,5089,0.775,0.72,,HIP 116454 b,1472,11.82,2.53,3,0,19/12/14,
144,HIP 57274,b,Radial Velocity,3,8.1389,,0.2,,,176.170685,30.959293,,,,,HIP 57274 b,1480,,0.77,3,0,24/04/15,
145,K2-10,b,Transit,1,19.3044,,0.31,2.6,,172.121957,1.690636,5620,0.92,0.98,,K2-10 b,1480,27,3.84,3,0,11/02/16,
146,K2-19,b,Transit,2,7.919454,0.077,0,,88.83,174.960319,0.603575,5230,0.89,0.88,,K2-19 b,1486,,7.23,3,0,15/10/15,
147,K2-19,b,Transit,2,7.921101,0.0762,0.119,0.492,88.87,174.960319,0.603575,5390,0.949,0.91,,K2-19 b,1490,44,7.46,3,0,19/11/15,
148,K2-19,c,Transit,2,11.90701,0.1032,0,,89.91,174.960319,0.603575,5230,0.89,0.88,,K2-19 c,1500,,4.21,3,0,15/10/15,
149,K2-24,b,Transit,2,20.8851,0.154,0,0.63,89.25,242.573719,-24.990331,5743,1.12,1.21,,K2-24 b,1500,21,5.68,3,0,11/02/16,0.158
150,K2-24,c,Transit,2,42.3633,0.247,0,0.31,89.76,242.573719,-24.990331,5743,1.12,1.21,,K2-24 c,1500,27,7.82,3,0,11/02/16,0.158
151,K2-25,b,Transit,1,3.484552,,0.27,,88.3,63.273432,15.247763,3180,0.294,0.29,,K2-25 b,1513,,3.43,3,0,05/01/16,-2.076
152,K2-27,b,Transit,1,6.77145,,0.16,1.8,,171.515165,1.230738,5320,0.89,0.85,,K2-27 b,1516,29.1,4.45,3,0,11/02/16,
153,K2-28,b,Transit,1,2.260455,0.0214,0,,88.9,335.624384,-7.955366,3214,0.257,0.29,,K2-28 b,1520,,2.32,3,0,25/02/16,
154,K2-29,b,Transit,1,3.2588321,0.04217,0.066,0.53,86.656,62.670647,24.402043,5358,0.94,0.86,,K2-29 b,1530,232.0159,13.339,3,0,24/03/16,
155,K2-3,b,Transit,3,10.05429,0.0775,0.06,4.32,89.59,172.334949,-1.454787,,0.612,0.55,,K2-3 b,1540,8.4,2.078,3,0,15/10/15,
156,K2-3,c,Transit,3,24.6491,0.1405,0.04,1.82,89.7,172.334949,-1.454787,,0.612,0.55,,K2-3 c,1540,2.1,1.644,3,0,15/10/15,
157,K2-3,d,Transit,3,44.5705,0.2086,0.045,17.5,89.79,172.334949,-1.454787,,0.612,0.55,,K2-3 d,1544,11.1,1.53,3,0,15/10/15,
158,KELT-1,b,Transit,1,1.217514,0.02466,0.0099,24.7,87.8,0.362142,39.383808,6518,1.324,1.46,,KELT-1 b,1550,8654.15,12.442,3,0,14/05/14,0.542
159,KELT-14,b,Transit,1,1.7100588,0.02956,0,0.421,79.67,108.301485,-42.409744,5802,1.178,1.37,,KELT-14 b,1555,380.12468,17.038,3,0,17/03/16,0.279
160,KELT-15,b,Transit,1,3.329441,0.04613,0,0.36,88.3,117.415037,-52.120453,6003,1.181,1.48,,KELT-15 b,1560,289.2253,16.175,3,0,17/03/16,0.412
161,KELT-2 A,b,Transit,1,4.1137912,0.05496,0,,88.6,92.663948,30.957144,6151,1.308,1.83,,KELT-2 A b,1570,483.717,14.415,3,0,14/05/14,
162,KELT-3,b,Transit,1,2.7033904,0.04122,0,0.75,84.23,148.643324,40.388069,6306,1.278,1.47,,KELT-3 b,1570,469.415,15.076,3,0,14/05/14,0.489
163,KELT-4 A,b,Transit,1,2.9895932,0.04317,0,0.228,83.16,157.062546,25.573189,6206,1.201,1.6,,KELT-4 A b,1570,286.68266,19.044,3,0,25/02/16,0.535
164,KELT-6,b,Transit,2,7.8457,0.07939,0.22,0.311,88.81,195.981868,30.640051,6102,1.085,1.58,,KELT-6 b,1571,136.661,13.372,3,0,14/05/14,0.493
165,KELT-6,b,Transit,2,7.8455821,0.08,0.029,,88.81,195.981868,30.640051,6272,1.126,1.53,,KELT-6 b,1577,,13.227,3,0,03/09/15,
166,KELT-7,b,Transit,1,2.7347749,0.04415,0,0.442,83.76,78.295532,33.318165,6789,1.535,1.73,,KELT-7 b,1581,406.8224,17.183,3,0,04/06/15,0.758
