name,a,e,M,w,per
Solokhin,2.305967269144444,.1629058093004096,331.7576059819012,51.73519320908251,3.50177235812438
Worpswede,3.193695884609006,.1064235610499375,278.1167229927056,48.51169184776393,5.7075344334336
Tohru,2.431096535997574,.1036102390822778,90.17329272746343,127.4631972665313,3.79063099179725
Nielsen,2.609639335347781,.3009166456506419,166.4034617697234,134.7386497841542,4.21578968719417
Shinkenwada,2.922877921176922,.1080089803124124,154.4683199189585,204.192014035942,4.99717107308802
Kazukoichikawa,2.208893684655097,.2043710958166915,142.7356058421526,246.1890241477668,3.28299652135942
"van Ostaijen",2.339525173938823,.06445097592033404,84.72002407970827,50.55222682323073,3.57848982169329
"Van den Eijnde",2.445271126352873,.1264378530133924,252.2372156557581,30.73064367347006,3.82383137134075
Kadota,2.428731301219877,.1774141435434953,290.9343074337032,125.3769328546093,3.78510043117047
Ezaki,2.735425130742736,.1096453040405105,130.9086419173016,37.32244002428754,4.52423808236261
Felixdejager,2.896281073662458,.05863505037415738,254.7214524001245,38.02466317502989,4.92911852978497
Dainty,2.746157039140052,.219779826301815,183.5536919025319,230.1339439202969,4.55088913183848
Krautter,2.258329994768995,.1590900964388611,40.19125523266756,56.31923313350755,3.39382392128857
Hermannhesse,2.2476597517775,.06451440908975702,355.9177652010007,113.1411870740552,3.36979945373975
Morgenstern,2.319220082202508,.1888822838600458,273.6376980698557,159.934573114325,3.53200367402836
Bradbury,2.450016314704572,.08316251377072906,119.576975178998,59.54142014163742,3.83496731438417
"Midsomer Norton",3.382002880792452,.5698203869521831,293.7628897379154,231.1041304466984,6.21969605515249
Stephenmaran,2.426286216010327,.2131712953699681,108.4371740920153,136.3678367889438,3.77938598878906
Nautilus,2.237775733496191,.1129112190387082,289.2768404180291,47.46261343946717,3.34759601590953
Discovery,2.283181787902189,.1456227437929758,200.9953674021839,67.81039095869096,3.44999876517263
Annjudge,2.535510427419915,.1231907361949879,96.22635052216569,80.65019211323416,4.03744206665915
Joeferguson,2.61135838128799,.1529099142714809,89.18652377690921,79.76107723634695,4.21995596951868
Enterprise,2.39768353315382,.2317174916655636,292.9859674185603,178.8761889238607,3.71275244886622
Isabelallende,2.426945384468679,.1878866709071735,205.8250035153322,191.3021717135452,3.78092625713181
Bandersnatch,2.199916066547356,.1018287754758286,61.15979347091811,201.4201849285677,3.26300222177511
Jubjubbird,2.462693464175678,.1722982337408271,252.43272655859,268.0647717958251,3.8647707621925
Edo,2.555455195304094,.1594334634255206,316.7552231426213,127.6982266219766,4.08517446478788
Tensho-kan,2.669999220444779,.1038656811187223,345.0924576761869,128.305832907292,4.36289643641084
Yotsubashi,2.744690557672621,.05833035782769268,274.1584633738241,2.640677335165607,4.5472442728087
Senjikan,2.751318187516936,.05175771481858971,134.1930394346257,186.8354313998354,4.56372462124834
Gakutensoku,2.83918809222997,.07999143211068072,247.1508870042513,47.13050431694602,4.78409119436808
Yagami,3.088362568546683,.1388485647165139,281.232013730611,124.0828840367232,5.42750987635536
Torvalds,2.254601039309246,.1595911558644634,27.64359754247527,344.2952461575719,3.38542156688946
Deprez,2.906279756519101,.06925623006802253,238.7701085237788,155.50478707,4.95466536191246
Raes,3.174170726179068,.1642272132504159,133.4677802246527,105.5209231311469,5.65527365929649
Shigetoshi,2.372934007917096,.1998064191988605,328.0495940634195,170.886591757521,3.65541502860081
Jimdarwin,2.613497259137571,.175430219019485,27.93709306605712,324.1982315099556,4.22514167193748
