full_name,epoch_mjd,a,e,i,om,w,ma,per_y
 10247 Amphiaraos (6629 P-L),57400,5.256659332,0.008904055,4.19150803,162.5240169,340.9312807,119.8087303,12.05238375
 10664 Phemios (5187 T-2),57400,5.179606452,0.031601757,8.580951857,240.1377162,235.8458079,128.7583656,11.78835883
 10989 Dolios (1973 SL1),57400,5.168967102,0.085934251,10.58256202,187.3540201,206.5683599,192.2024238,11.75205606
 11089 (1994 CS8),57400,5.19898717,0.02285887,6.927970625,120.1151207,18.98833489,294.131086,11.85458407
 11251 Icarion (1973 SN1),57400,5.159373961,0.002628692,4.203875569,101.9985176,118.286451,7.758733784,11.71935509
 11252 Laertes (1973 SA2),57400,5.145115693,0.029253647,5.857232848,78.32558873,326.3836293,170.2780829,11.67080787
 11273 (1988 RN11),57400,5.212204455,0.094948697,1.419433449,171.6050677,55.09674257,204.3020664,11.89981931
 11275 (1988 SL3),57400,5.192839493,0.089848339,25.16169639,122.5775248,218.3536389,123.6110013,11.83356364
 11351 Leucus (1997 TS25),57400,5.282770429,0.063804932,11.56101571,251.0896449,161.4703566,192.5142465,12.14229583
 11395 (1998 XN77),57400,5.214494981,0.066679079,24.14004031,213.240398,117.380005,250.8301989,11.90766431
 11396 (1998 XZ77),57400,5.213604419,0.063240091,12.58228139,195.694265,176.6504907,211.1022288,11.90461395
 11397 (1998 XX93),57400,5.242646105,0.061205592,21.005825,261.2305737,152.7025438,200.0241584,12.00422193
 11428 Alcinoos (4139 P-L),57400,5.323673985,0.013006599,17.30654654,3.346810387,61.30675955,163.4868755,12.28359192
 11429 Demodokus (4655 P-L),57400,5.261802737,0.027584873,17.08480178,6.333382469,93.47917979,103.1588436,12.07007715
 11487 (1988 RG10),57400,5.145133653,0.048048234,3.528141738,342.3759967,8.946951323,109.4890492,11.67086897
 11488 (1988 RM11),57400,5.156504493,0.038000955,3.353428482,140.7011155,237.0438277,94.12813605,11.7095796
 11509 Thersilochos (1990 VL6),57400,5.180316943,0.142672102,18.50194712,214.7073322,128.8747202,115.1682015,11.79078444
 11552 Boucolion (1993 BD4),57400,5.265778773,0.152099042,14.68415752,138.3629262,182.8703341,154.3435699,12.08376071
 11554 Asios (1993 BZ12),57400,5.262640014,0.061439592,13.71149725,128.1039672,126.7786264,216.549175,12.07295821
 11663 (1997 GO24),57400,5.142566995,0.126085106,14.46676177,226.0163229,89.11569981,138.3501182,11.66213701
 11668 Balios (1997 VV1),57400,5.179636549,0.140980343,4.677718464,20.11533894,13.98606628,177.2194386,11.78846158
 11869 (1989 TS2),57400,5.244528063,0.04135293,11.3021972,149.667015,159.1631488,140.9260194,12.01068626
 11887 Echemmon (1990 TV12),57400,5.183346566,0.091821456,24.04430311,242.6516326,112.5856772,104.0407394,11.80112942
 12052 Aretaon (1997 JB16),57400,5.245856525,0.066921978,11.46173865,219.7744138,86.35198971,130.8755103,12.01525009
 12054 (1997 TT9),57400,5.140480977,0.064190643,10.09058802,44.54425225,41.46012955,155.0018989,11.65504184
 12126 (1999 RM11),57400,5.231878448,0.207305098,2.042278424,351.0426699,304.0151864,153.6507039,11.96725846
 12238 Actor (1987 YU1),57400,5.174639535,0.123049577,21.09663586,227.5930454,177.5972148,178.1885971,11.77140645
 12242 Koon (1988 QY),57400,5.101322996,0.066676432,29.78434424,222.6566428,94.88127128,147.7872211,11.5221211
 12444 Prothoon (1996 GE19),57400,5.2488232,0.070646287,30.82569876,213.218699,64.81698295,174.5898943,12.02544396
 12649 Ascanios (2035 T-3),57400,5.154559439,0.147137463,6.571931305,337.5923872,342.5331282,144.8734736,11.70295487
 12658 Peiraios (1973 SL),57400,5.158155973,0.057175308,1.777352769,111.8842033,327.4375949,166.5565552,11.71520541
 12714 Alkimos (1991 GX1),57400,5.227703745,0.036442038,9.508256157,298.9036004,164.6061662,130.8648251,11.95293766
 12916 Eteoneus (1998 TL15),57400,5.165844143,0.016890207,26.39198647,219.3840255,220.0963975,120.165689,11.74140723
 12917 (1998 TG16),57400,5.201453065,0.089302968,11.83615018,204.3407073,228.4823915,132.041202,11.86301906
 12921 (1998 WZ5),57400,5.24445265,0.092411042,12.79485085,160.2171903,273.6141017,147.3290287,12.01042721
 12929 (1999 TZ1),57400,5.229896339,0.040570985,43.45577471,200.2307565,132.4911689,145.3920148,11.96045836
 12972 Eumaios (1973 SF1),57400,5.149649659,0.150361871,8.444410263,40.55158977,339.1096681,201.5425246,11.68623804
 12973 Melanthios (1973 SY1),57400,5.125460917,0.056679545,5.744382003,358.2195873,36.47845652,179.9364886,11.60399657
 12974 Halitherses (1973 SB2),57400,5.181653104,0.050717089,7.609116342,15.19433346,3.026695109,205.5063016,11.79534654
 13060 (1991 EJ),57400,5.169445433,0.122441998,22.91017816,280.4942672,95.75250491,193.16343,11.75368738
 13062 Podarkes (1991 HN),57400,5.156259456,0.009471924,8.233471158,91.02607084,286.7661248,233.6720156,11.70874495
 13181 Peneleos (1996 RS28),57400,5.215878318,0.13631205,2.54502557,10.99628628,104.1290639,110.2987223,11.91240304
 13182 (1996 SO8),57400,5.238206926,0.112177996,5.071283188,303.0623804,64.44490178,204.760094,11.98897841
 13183 (1996 TW),57400,5.212458737,0.089450043,17.95924428,8.066170477,314.1285364,268.2941266,11.90069013
 13184 Augeias (1996 TS49),57400,5.162553676,0.048061789,4.514347037,227.4680316,97.02346986,273.0570734,11.7301907
 13185 Agasthenes (1996 TH52),57400,5.190126492,0.053947566,9.109216764,4.37502785,53.81466922,170.1013138,11.82429118
 13229 Echion (1997 VB1),57400,5.246310156,0.076183615,3.840094487,343.0223937,167.246,90.41971443,12.01680864
 13230 (1997 VG1),57400,5.068190456,0.061421523,4.327011058,53.83957706,38.70975793,142.4627544,11.41005118
 13323 (1998 SQ),57400,5.105848775,0.088008508,0.917154133,182.5079813,254.9394682,126.7471134,11.53745776
 13331 (1998 SU52),57400,5.07658475,0.108063758,2.294105271,284.8046704,149.4017852,144.0856909,11.43841011
 13353 (1998 TU12),57400,5.167690079,0.133685941,15.43641777,41.95675825,75.7064223,108.3434051,11.74770121
 13362 (1998 UQ16),57400,5.185426261,0.028616417,9.341062218,57.91574097,122.2367445,31.8072382,11.80823252
 13366 (1998 US24),57400,5.2276452,0.103636899,6.636810426,96.2950237,355.7119599,126.961078,11.95273687
 13372 (1998 VU6),57400,5.233884967,0.046695284,7.304616483,96.68234073,304.5382099,187.5084728,11.9741436
 13379 (1998 WX9),57400,5.151476936,0.064533654,4.91664639,89.55182976,337.1000886,161.8383548,11.69245863
 13383 (1998 XS31),57400,5.147919684,0.063909237,6.400220705,252.2201823,161.7987408,183.1310964,11.68034972
 13385 (1998 XO79),57400,5.227318153,0.045160741,13.96386514,157.1525521,165.292745,263.4275546,11.95161522
 13387 Irus (1998 YW6),57400,5.217315324,0.095163714,7.243104202,356.0236129,19.11438601,199.908481,11.91732629
 13402 (1999 RV165),57400,5.254617324,0.119231477,7.530669382,160.8419592,127.3850069,181.2099754,12.04536161
 13463 Antiphos (5159 T-2),57400,5.177864252,0.006378239,10.52754046,323.5785479,96.0848202,175.2348001,11.78241167
