rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
1317,Kepler-1439,b,Transit,1,8.07392849,,,,,,0.130,,0,1,0,1,19h02m57.55s,285.739806,+40d58m48.1s,40.980036,215.00,16.109,Kepler-band,3578.00,0.46,0.43,2016-05-10
1318,Kepler-144,b,Transit,2,5.88527300,0.066000,,,,,0.119,,0,1,0,1,18h47m39.76s,281.915678,+42d46m31.8s,42.775513,,11.992,Kepler-band,6075.00,1.03,1.24,2014-05-14
1319,Kepler-144,c,Transit,2,10.10466500,0.094000,,,,,0.120,,0,1,0,1,18h47m39.76s,281.915678,+42d46m31.8s,42.775513,,11.992,Kepler-band,6075.00,1.03,1.24,2014-05-14
1320,Kepler-1440,b,Transit,1,39.85948400,,,,,,0.112,,0,1,0,1,19h01m23.27s,285.346938,+48d18m44.1s,48.312252,685.00,14.131,Kepler-band,5698.00,0.98,0.96,2016-05-10
1321,Kepler-1441,b,Transit,1,39.44198390,,,,,,0.117,,0,1,0,1,19h34m52.59s,293.719126,+43d07m28.5s,43.124590,751.00,14.268,Kepler-band,5802.00,1.00,1.00,2016-05-10
1322,Kepler-1442,b,Transit,1,81.41629410,,,,,,0.351,,0,1,0,1,19h25m01.34s,291.255595,+48d50m49.1s,48.846970,525.00,12.146,Kepler-band,6394.00,1.34,1.44,2016-05-10
1323,Kepler-1443,b,Transit,1,2.41811321,,,,,,0.087,,0,1,0,1,18h53m44.58s,283.435761,+47d04m00.7s,47.066855,475.00,12.278,Kepler-band,6289.00,1.19,1.27,2016-05-10
1324,Kepler-1444,b,Transit,1,33.42035034,,,,,,0.194,,0,1,0,1,19h01m19.35s,285.330615,+42d02m25.6s,42.040436,340.00,12.325,Kepler-band,5810.00,1.03,1.05,2016-05-10
1325,Kepler-1445,b,Transit,1,10.60052251,,,,,,0.086,,0,1,0,1,18h40m59.87s,280.249457,+43d54m54.2s,43.915066,482.00,12.405,Kepler-band,6150.00,1.13,1.26,2016-05-10
1326,Kepler-1446,b,Transit,1,0.68996783,,,,,,0.073,,0,1,0,1,19h17m41.75s,289.423960,+46d43m34.2s,46.726170,162.00,12.411,Kepler-band,4865.00,0.81,0.75,2016-05-10
1327,Kepler-1447,b,Transit,1,56.67472850,,,,,,0.259,,0,1,0,1,19h18m34.43s,289.643439,+50d43m37.5s,50.727089,871.00,14.682,Kepler-band,5722.00,0.97,0.95,2016-05-10
1328,Kepler-1448,b,Transit,1,12.27065865,,,,,,0.144,,0,1,0,1,19h11m28.17s,287.867389,+50d35m44.1s,50.595585,786.00,14.411,Kepler-band,5774.00,0.95,0.93,2016-05-10
1329,Kepler-1449,b,Transit,1,13.22745280,,,,,,0.150,,0,1,0,1,19h12m55.62s,288.231731,+50d34m04.4s,50.567886,1321.00,15.050,Kepler-band,5979.00,1.08,1.10,2016-05-10
1330,Kepler-145,b,Transit,2,22.95100000,,,,0.11700,Mass,0.236,,1,1,0,1,19h25m33.06s,291.387762,+44d31m44.8s,44.529106,,11.931,Kepler-band,6022.00,1.32,1.85,2014-05-14
1331,Kepler-145,c,Transit,2,42.88200000,,,,0.25000,Mass,0.385,,1,1,0,1,19h25m33.06s,291.387762,+44d31m44.8s,44.529106,,11.931,Kepler-band,6022.00,1.32,1.85,2014-05-14
