id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,rowupdate
708,KOI-12,b,Transit,1,17.8552333,0.151,0.72,88.95,10,Mass,1.43,,0,1,0,,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,426,11.353,Kepler-band,6820,1.45,1.63,14/05/15
709,KOI-13,b,Transit,1,1.763588,0.03641,0.00064,86.77,9.28,Mass,1.512,3.6,0,1,0,,19h07m53.09s,286.971199,+46d52m06.1s,46.868362,,9.958,Kepler-band,7650,1.72,1.74,15/10/15
710,KOI-142,b,Transit,2,10.95416,,0.05593,89.055,0.027,Mass,0.337,0.87,1,1,0,,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339,13.11,V (Johnson),5471,0.96,0.88,14/05/14
711,KOI-142,c,Transit Timing Variations,2,22.3395,0.15525,0.05628,86.2,0.626,Mass,,,0,1,0,,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339,13.11,V (Johnson),5471,0.96,0.88,14/05/14
712,KOI-217,b,Transit,1,3.90512,0.0477,0,89.8,,,1.11,,0,1,0,,19h39m27.72s,294.865505,+46d17m09.1s,46.285854,800,15.127,Kepler-band,5545,0.95,0.86,14/05/14
713,KOI-351,b,Transit,7,7.008151,0.074,,89.4,,,0.117,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
714,KOI-351,c,Transit,7,8.719375,0.089,,89.68,,,0.106,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
715,KOI-351,d,Transit,7,59.73667,0.32,,89.71,,,0.256,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
716,KOI-351,e,Transit,7,91.93913,0.42,,89.79,,,0.237,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
717,KOI-351,f,Transit,7,124.9144,0.48,,89.77,,,0.257,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
718,KOI-351,g,Transit,7,210.60697,0.71,,89.8,,,0.723,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
719,KOI-351,h,Transit,7,331.60059,1.01,,89.6,,,1.008,,0,1,0,,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780,13.804,Kepler-band,6080,1.2,1.2,14/05/14
720,KOI-55,b,Orbital Brightness Modulation,2,0.240104,0.006,,65,0.0014,Mass,0.068,,0,1,0,,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,1180,14.87,V (Johnson),27730,0.5,0.2,14/05/14
721,KOI-55,c,Orbital Brightness Modulation,2,0.342887,0.0076,,65,0.0021,Mass,0.077,,0,1,0,,19h45m25.47s,296.356105,+41d05m33.9s,41.092755,1180,14.87,V (Johnson),27730,0.5,0.2,14/05/14
722,KOI-94,b,Transit,4,3.743208,0.05119,0.25,89.3,0.033,Mass,0.153,10.1,0,1,0,,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,14/05/14
723,KOI-94,c,Transit,4,10.423648,0.1013,0.43,88.36,0.049,Mass,0.385,0.91,1,1,0,,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,14/05/14
724,KOI-94,d,Transit,4,22.342989,0.1684,0.022,89.871,0.334,Mass,1.005,0.363,1,1,0,,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,14/05/14
725,KOI-94,e,Transit,4,54.32031,0.3046,0.019,89.76,0.11,Mass,0.585,0.6,1,1,0,,19h49m19.93s,297.333057,+41d53m28.0s,41.891117,,12.205,Kepler-band,6182,1.28,1.52,14/05/14
726,Kapteyn,c,Radial Velocity,1,121.54,0.311,0.23,,0.022,Msini,,,0,0,0,,05h11m40.58s,77.91909,-45d01m06.3s,-45.018414,3.92,8.845,V (Johnson),3550,0.28,0.29,04/06/14
727,Kepler-10,b,Transit,2,0.837491,0.0172,,85.1,0.0145,Mass,0.132,8,0,1,0,,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,10.94,V (Johnson),5627,0.91,1.06,15/10/15
728,Kepler-10,c,Transit,2,45.294301,,0,89.59,0.054,Mass,0.21,7.1,1,1,0,,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173,10.94,V (Johnson),5627,0.91,1.06,02/06/14
729,Kepler-100,b,Transit,3,6.88705,,,,0.023,Mass,0.118,14.25,0,1,0,,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,11.197,Kepler-band,5825,1.08,1.49,14/05/14
730,Kepler-100,c,Transit,3,12.8159,,,,0.003,Mass,0.196,0.35,0,1,0,,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,11.197,Kepler-band,5825,1.08,1.49,14/05/14
731,Kepler-100,d,Transit,3,35.3331,,,,0.009,Mass,0.144,,0,1,0,,19h25m32.63s,291.385979,+41d59m25.0s,41.990273,,11.197,Kepler-band,5825,1.08,1.49,14/05/14
732,Kepler-101,b,Transit,2,3.4876812,0.0474,0.086,85.82,0.16,Mass,0.51,1.45,0,1,0,,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,,13.8,V (Johnson),5667,1.17,1.56,25/09/14
733,Kepler-101,c,Transit,2,6.02976,0.0684,0,84.6,0.01,Mass,0.112,10.5,0,1,0,,18h53m01.32s,283.255489,+48d21m18.8s,48.355228,,13.8,V (Johnson),5667,1.17,1.56,25/09/14
